Date,Close,Volume
3/07/2017,2.207625,946184
4/07/2017,2.177926,1525889
5/07/2017,2.148227,542793
6/07/2017,2.098729,1524966
7/07/2017,2.128428,716362
10/07/2017,2.029431,696397
11/07/2017,1.970033,843530
12/07/2017,1.979933,447068
13/07/2017,1.970033,715755
14/07/2017,1.965083,228595
17/07/2017,1.974983,314575
18/07/2017,1.974983,662953
19/07/2017,1.970033,733320
20/07/2017,1.974983,501667
21/07/2017,1.920535,1163783
24/07/2017,1.856187,703388
25/07/2017,1.75719,1496950
26/07/2017,1.737391,1267417
27/07/2017,1.732441,809681
28/07/2017,1.732441,496699
31/07/2017,1.727491,597762
1/08/2017,1.702742,368794
2/08/2017,1.737391,413296
3/08/2017,1.702742,434924
4/08/2017,1.593846,1338054
7/08/2017,1.677993,618692
8/08/2017,1.653244,497261
9/08/2017,1.722542,665475
10/08/2017,1.78194,810312
11/08/2017,1.752241,337398
14/08/2017,1.747291,230552
15/08/2017,1.707692,288414
16/08/2017,1.806689,1147663
17/08/2017,1.831438,671377
18/08/2017,1.78194,678590
21/08/2017,1.673043,465807
22/08/2017,1.643344,737392
23/08/2017,1.583946,999162
24/08/2017,1.593846,558997
25/08/2017,1.593846,0
28/08/2017,1.593846,0
29/08/2017,1.42,1925138
30/08/2017,1.425,1181093
31/08/2017,1.44,1768024
1/09/2017,1.445,825473
4/09/2017,1.46,716314
5/09/2017,1.5,1160573
6/09/2017,1.51,965921
7/09/2017,1.5,1059945
8/09/2017,1.5,387424
11/09/2017,1.44,993106
12/09/2017,1.395,1634108
13/09/2017,1.375,1048704
14/09/2017,1.38,865611
15/09/2017,1.375,798308
18/09/2017,1.375,468024
19/09/2017,1.36,737352
20/09/2017,1.325,1173237
21/09/2017,1.33,621750
22/09/2017,1.34,391033
25/09/2017,1.375,825557
26/09/2017,1.35,511956
27/09/2017,1.37,192036
28/09/2017,1.34,584701
29/09/2017,1.37,449519
2/10/2017,1.375,351990
3/10/2017,1.415,996897
4/10/2017,1.5,924871
5/10/2017,1.595,2032328
6/10/2017,1.55,2449726
9/10/2017,1.52,555424
10/10/2017,1.735,1362225
11/10/2017,1.71,1158285
12/10/2017,1.84,1926638
13/10/2017,1.88,2711657
16/10/2017,1.82,649650
17/10/2017,1.75,975779
18/10/2017,1.73,823153
19/10/2017,1.755,546683
20/10/2017,1.72,361606
23/10/2017,1.68,643187
24/10/2017,1.63,1188432
25/10/2017,1.46,34393561
26/10/2017,1.415,2993394
27/10/2017,1.375,2330519
30/10/2017,1.345,2535077
31/10/2017,1.335,1329654
1/11/2017,1.34,1247023
2/11/2017,1.36,2452227
3/11/2017,1.315,2550350
6/11/2017,1.28,1768126
7/11/2017,1.29,1341555
8/11/2017,1.275,919714
9/11/2017,1.265,1485326
10/11/2017,1.235,24559642
13/11/2017,1.37,3170095
14/11/2017,1.395,3850078
15/11/2017,1.27,2619434
16/11/2017,1.23,1540415
17/11/2017,1.325,2036267
20/11/2017,1.28,1107767
21/11/2017,1.275,984833
22/11/2017,1.285,974482
23/11/2017,1.26,576993
24/11/2017,1.265,399756
27/11/2017,1.265,335601
28/11/2017,1.265,837501
29/11/2017,1.315,598398
30/11/2017,1.35,1497565
1/12/2017,1.345,937590
4/12/2017,1.305,1244582
5/12/2017,1.32,666815
6/12/2017,1.335,639431
7/12/2017,1.33,525134
8/12/2017,1.345,909770
11/12/2017,1.38,1509742
12/12/2017,1.365,568064
13/12/2017,1.395,479160
14/12/2017,1.35,1026221
15/12/2017,1.42,3417501
18/12/2017,1.39,2112846
19/12/2017,1.485,4243565
20/12/2017,1.45,1793767
21/12/2017,1.46,1452286
22/12/2017,1.46,950936
27/12/2017,1.52,1527251
28/12/2017,1.46,1230863
29/12/2017,1.46,793767
2/01/2018,1.465,414383
3/01/2018,1.45,897184
4/01/2018,1.495,1000641
5/01/2018,1.485,410697
8/01/2018,1.44,1140972
9/01/2018,1.44,614429
10/01/2018,1.425,477657
11/01/2018,1.395,1103296
12/01/2018,1.44,721174
15/01/2018,1.44,676524
16/01/2018,1.44,405608
17/01/2018,1.43,943940
18/01/2018,1.45,719052
19/01/2018,1.43,536026
22/01/2018,1.42,703290
23/01/2018,1.445,857261
24/01/2018,1.41,343853
25/01/2018,1.385,837622
29/01/2018,1.39,367050
30/01/2018,1.38,418192
31/01/2018,1.34,682773
1/02/2018,1.405,1301423
2/02/2018,1.385,482401
5/02/2018,1.34,2218695
6/02/2018,1.27,1563255
7/02/2018,1.3,1473864
8/02/2018,1.335,624363
9/02/2018,1.28,919154
12/02/2018,1.24,1287081
13/02/2018,1.215,1801934
14/02/2018,1.25,997208
15/02/2018,1.28,761284
16/02/2018,1.25,911024
19/02/2018,1.365,1090511
20/02/2018,1.36,712630
21/02/2018,1.41,1886277
22/02/2018,1.575,4006293
23/02/2018,1.575,3690860
26/02/2018,1.745,7291681
27/02/2018,1.71,3079777
28/02/2018,1.78,1920282
1/03/2018,1.945,3552115
2/03/2018,1.895,2397301
5/03/2018,1.95,2191216
6/03/2018,1.82,3379725
7/03/2018,1.91,3717522
8/03/2018,1.77,4038590
9/03/2018,1.68,3585250
12/03/2018,1.69,1596374
13/03/2018,1.63,2028933
14/03/2018,1.645,1111028
15/03/2018,1.68,1262008
16/03/2018,1.7,3772623
19/03/2018,1.67,1242107
20/03/2018,1.64,618616
21/03/2018,1.57,1551400
22/03/2018,1.6,523894
23/03/2018,1.525,1540446
26/03/2018,1.56,767272
27/03/2018,1.57,2006251
28/03/2018,1.51,1685727
29/03/2018,1.49,1406480
3/04/2018,1.435,921171
4/04/2018,1.405,590999
5/04/2018,1.48,779980
6/04/2018,1.5,901389
9/04/2018,1.465,421236
10/04/2018,1.48,353515
11/04/2018,1.555,686484
12/04/2018,1.64,715640
13/04/2018,1.625,446361
